TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,PSE-PSOE,HB,EB-B,CDS,PST,PH,PTE-UC,FE-JONS,PORE,PDP,POSI,UCE,F.N.,PNCL-PANCAL,AP,PAR,PED,CIU,BNG,AIC,UV,LA,P.A.,EA...(E87),PNV...(E87),ANEMYA,LV,C.V.,EE...(E87),E.U.,PCV,AS,CSD
Bizkaia,ABADIÑO,,1,3,4914,3371,55,3316,46,3270,1543,542,780,14,57,3,2,7,2,6,3,6,3,0,7,101,0,1,2,10,1,0,5,6,556,918,3,7,3,215,4,2,0,4
Gipuzkoa,ABALTZISKETA,,1,3,240,103,,103,1,102,137,1,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,12,1,0,0,4,0,0,0,0
Bizkaia,ABANTO Y CIÉRVANA-ABANTO ZIERBENA,,2,2,7273,5247,31,5216,34,5182,2026,1233,1099,194,34,106,0,225,1,4,8,3,0,1,2,66,0,1,1,3,0,0,3,1,344,652,5,8,8,1171,1,3,3,2
Gipuzkoa,ADUNA,,2,3,265,235,2,233,3,230,30,1,109,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,88,15,1,1,3,9,0,0,0,0
Álava,AGURAIN/SALVATIERRA,,51,2,2658,1961,24,1937,20,1917,697,372,466,21,57,13,0,9,0,7,0,6,7,1,1,67,0,0,0,5,1,5,0,5,273,461,8,9,4,112,4,1,1,1
Gipuzkoa,AIA,,16,4,1413,977,2,975,1,974,436,2,263,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,256,435,0,0,1,12,0,0,0,0
Gipuzkoa,AIZARNAZABAL,,3,4,403,284,,284,2,282,119,2,125,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,117,18,0,0,2,12,0,0,2,0
Gipuzkoa,ALBIZTUR,,4,3,248,114,2,112,3,109,134,0,21,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,52,23,0,0,0,10,0,0,0,0
Gipuzkoa,ALEGIA,,5,3,1320,955,4,951,10,941,365,55,322,0,1,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,417,79,0,0,0,46,1,0,0,0
Álava,ALEGRÍA-DULANTZI,,1,2,727,543,5,538,7,531,184,143,54,1,25,5,0,2,1,1,0,1,0,1,1,33,1,0,0,0,1,0,0,0,32,175,1,1,4,46,0,0,0,1
Gipuzkoa,ALKIZA,,6,3,207,129,1,128,4,124,78,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,10,0,0,0,60,0,0,0,0
Gipuzkoa,ALTZO,,7,3,280,170,4,166,1,165,110,0,96,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,42,17,0,0,0,8,0,0,0,0
Gipuzkoa,AMEZKETA,,8,3,885,362,7,355,2,353,523,1,139,0,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,123,39,4,4,0,25,1,0,0,0
Bizkaia,AMOREBIETA-ETXANO,,3,3,11655,9124,60,9064,42,9022,2531,1414,2096,459,176,20,4,64,2,7,6,5,2,3,3,141,0,1,0,0,2,0,4,1,1319,2659,15,23,17,559,7,0,7,6
Bizkaia,AMOROTO,,4,4,341,254,11,243,4,239,87,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,115,0,0,0,8,0,0,1,0
Álava,AMURRIO,,2,3,6930,5148,51,5097,57,5040,1782,776,1132,6,78,6,5,14,1,1,9,0,5,6,11,512,2,0,2,3,0,2,1,1,1044,1033,11,14,6,347,5,0,4,3
Gipuzkoa,ANDOAIN,,9,3,11479,8149,59,8090,56,8034,3330,1631,1753,71,143,17,5,75,3,4,5,1,6,1,3,302,0,1,0,2,1,1,0,2,1658,970,5,14,69,1259,20,0,7,5
Gipuzkoa,ANOETA,,10,3,1325,902,17,885,19,866,423,98,322,1,24,1,0,1,1,0,2,1,1,0,1,14,0,0,0,0,1,1,0,0,207,74,1,0,1,114,0,0,0,0
Gipuzkoa,ANTZUOLA,,11,4,1606,1393,1,1392,12,1380,213,201,421,5,3,0,1,2,0,1,0,1,0,0,0,29,0,0,0,0,0,0,0,1,291,294,1,0,0,127,1,0,1,0
Bizkaia,ARAKALDO,,5,3,81,66,,66,1,65,15,0,35,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,22,0,1,0,1,0,0,0,0
